age;default;cons.price.idx;cons.conf.idx;y
56;no;94.087;-32.3;no
69;no;94.575;-36.2;no
46;no;92.978;-42.6;no
32;no;92.661;-39.5;no
60;no;94.133;-43.6;no
25;no;94.429;-34.7;no
38;no;93.046;-48.0;no
56;no;92.289;-49.9;no
36;no;94.822;-34.3;no
40;no;93.193;-45.1;no
28;unknown;93.553;-48.2;no
28;no;94.513;-40.1;no
41;unknown;94.027;-48.7;no
53;yes;94.206;-27.8;no
57;no;92.627;-49.3;no
41;no;93.624;-35.5;yes
20;no;94.087;-39.0;no
39;no;92.686;-33.2;no
19;no;92.525;-41.8;yes
41;no;94.947;-46.1;no
61;no;93.55;-25.5;no
47;no;92.782;-29.0;no
55;no;94.989;-28.5;no
19;unknown;94.896;-43.7;no
38;no;93.675;-49.0;no
50;no;94.648;-42.4;no
29;no;92.566;-36.6;no
39;no;92.837;-41.8;no
61;no;94.101;-29.3;no
42;no;94.54;-43.2;no
66;no;94.569;-25.9;no
44;no;93.214;-38.6;no
59;no;94.663;-28.9;no
45;yes;94.553;-45.1;no
33;no;94.807;-39.7;no
32;no;94.356;-32.5;no
64;no;94.007;-46.5;no
68;no;93.742;-46.7;no
61;no;93.117;-25.8;no
69;no;94.82;-32.1;no
20;no;94.921;-49.0;yes
54;unknown;92.852;-40.0;no
68;no;92.916;-39.2;no
24;no;93.457;-31.4;yes
38;yes;93.345;-43.7;no
26;no;94.983;-45.4;no
56;no;92.528;-48.0;no
35;no;92.054;-39.3;no
21;no;93.482;-32.8;no
42;no;92.536;-48.5;no
31;no;93.099;-27.1;no
67;yes;94.233;-38.9;no
26;no;94.163;-44.0;yes
43;no;92.924;-47.7;no
19;no;93.628;-45.4;no
37;unknown;93.526;-26.6;yes
45;no;93.909;-34.0;yes
64;no;92.751;-37.1;yes
24;no;93.77;-33.6;no
61;no;94.937;-39.1;no
25;no;93.46;-31.7;no
64;no;94.718;-48.8;no
52;no;93.303;-35.8;yes
31;no;93.05;-46.0;no
34;no;93.935;-47.0;no
53;no;94.007;-41.5;no
67;no;94.593;-47.7;no
57;no;92.691;-47.6;no
21;no;93.498;-42.2;no
19;no;93.716;-25.5;no
23;no;94.306;-45.6;yes
59;no;92.131;-49.6;no
21;no;94.984;-30.9;no
46;no;93.41;-29.8;no
35;no;92.839;-41.3;no
43;no;94.65;-38.4;no
61;no;94.243;-33.8;yes
51;unknown;94.859;-48.8;no
27;no;92.992;-26.3;yes
53;unknown;93.658;-27.8;no
31;no;93.717;-43.5;no
48;no;94.941;-49.6;no
65;no;92.226;-26.7;no
32;no;92.917;-37.5;no
25;no;92.573;-36.5;no
31;no;92.805;-32.9;no
40;no;93.456;-34.6;no
57;no;93.118;-26.4;no
38;no;93.184;-26.4;no
33;no;94.533;-28.3;no
62;no;94.79;-34.1;no
35;no;92.211;-30.0;no
64;no;92.627;-33.1;no
41;no;94.013;-35.7;no
43;unknown;93.076;-46.8;no
42;no;92.762;-29.7;no
62;no;92.886;-29.5;no
58;no;92.968;-34.4;no
46;no;94.546;-29.5;no
32;no;92.41;-33.7;no
