age,tenure_years,dependents,num_products,income,credit_score,is_active,has_mortgage,balance,spending_score,city,job_type,target_tier,income_per_dependent,balance_to_income,tenure_per_age
67,8.4,3,3,1050.41,592.0,0,1,609.98,46.7,La Libertad,Clerk,Silver,262.6025,0.5801542690292084,0.12352941176470589
42,5.9,1,2,377.66,495.0,0,0,102.72,22.7,Santa Ana,Clerk,Silver,188.83,0.2712723815560133,0.1372093023255814
42,6.6,4,3,1266.71,545.0,0,0,600.18,32.4,San Salvador,Clerk,Silver,253.342,0.47343635374020865,0.15348837209302324
36,4.8,1,2,1429.48,548.0,0,0,525.32,49.3,San Miguel,Professional,Gold,714.74,0.3672333762093843,0.12972972972972974
69,10.0,1,2,798.11,563.0,0,0,236.42,40.2,San Salvador,Technician,Silver,399.055,0.2958541377282226,0.14285714285714285
73,11.2,1,1,1005.81,632.0,0,0,549.39,42.0,San Salvador,Clerk,Gold,502.905,0.5456739603301517,0.15135135135135133
64,8.5,0,2,2230.82,645.0,1,0,1305.3,73.9,Santa Ana,Manager,Platinum,2230.82,0.5848589940048928,0.13076923076923078
55,7.7,0,4,1635.1,615.0,0,0,685.62,67.2,San Miguel,Professional,Gold,1635.1,0.41905751482183246,0.1375
26,2.5,3,2,2492.41,550.0,1,1,1183.43,92.0,San Miguel,Manager,Gold,623.1025,0.47462310650875716,0.09259259259259259
53,1.4,0,1,823.92,609.0,0,1,246.9,31.1,La Libertad,Clerk,Silver,823.92,0.29930175047277313,0.025925925925925925
24,0.0,1,1,756.48,508.0,0,0,357.19,11.3,La Libertad,Clerk,Silver,378.24,0.4715504039710619,0.0
59,8.2,3,2,745.6,541.0,0,1,200.26,41.5,San Salvador,Clerk,Silver,186.4,0.26822930618805246,0.13666666666666666
60,8.8,0,2,1153.08,573.0,0,0,440.64,52.5,San Salvador,Professional,Platinum,1153.08,0.38181061971440455,0.14426229508196722
47,4.1,0,1,1046.36,513.0,1,1,574.01,45.3,San Salvador,Professional,Gold,1046.36,0.5480541552092881,0.08541666666666665
20,2.7,2,3,597.93,568.0,0,0,191.82,37.1,La Libertad,Clerk,Silver,199.30999999999997,0.3202711502178886,0.1285714285714286
71,9.8,0,4,1448.11,561.0,1,0,821.93,68.1,San Salvador,Clerk,Silver,1448.11,0.5671964171111924,0.13611111111111113
39,3.7,0,1,437.97,551.0,0,0,236.65,47.6,Sonsonate,Student,Silver,437.97,0.5391028999703852,0.0925
23,1.0,0,3,731.24,506.0,0,1,294.59,38.9,Santa Ana,Clerk,Silver,731.24,0.40231344914235767,0.041666666666666664
34,2.6,0,3,1496.72,572.0,1,0,706.49,85.0,La Libertad,Clerk,Gold,1496.72,0.47171033303955345,0.07428571428571429
69,11.0,2,3,476.88,592.0,1,0,165.37,56.6,Santa Ana,Clerk,Gold,158.96,0.3460492173767473,0.15714285714285714
57,7.3,0,2,1355.5,640.0,0,0,259.6,50.3,San Salvador,Self-Employed,Gold,1355.5,0.19137486177663104,0.12586206896551724
37,6.2,3,4,834.84,564.0,0,0,548.71,35.6,La Libertad,Technician,Silver,208.71,0.6564773162327718,0.1631578947368421
62,9.7,2,2,1469.46,613.0,0,0,276.83,45.4,San Salvador,Technician,Gold,489.82,0.18826081634318512,0.15396825396825395
22,0.5,0,3,4355.84,618.0,0,0,1715.15,100.0,Santa Ana,Manager,Platinum,4355.84,0.3936683467834486,0.021739130434782608
39,4.6,0,4,640.89,538.0,1,0,380.45,61.0,San Salvador,Clerk,Gold,640.89,0.5927027995450934,0.11499999999999999
19,0.0,0,1,279.96,528.0,0,0,112.04,30.7,Santa Ana,Student,Silver,279.96,0.39877562642369024,0.0
37,5.9,0,1,440.94,519.0,1,0,218.44,43.4,Sonsonate,Clerk,Silver,440.94,0.49427524098293885,0.15526315789473685
63,12.0,3,1,758.5,497.0,0,0,307.69,9.7,San Salvador,Clerk,Silver,189.625,0.4051217906517446,0.1875
38,1.6,0,2,855.86,565.0,0,0,353.51,25.2,San Miguel,Clerk,Silver,855.86,0.41256447961160514,0.041025641025641026
46,3.3,0,2,1360.22,538.0,1,0,850.38,43.0,San Miguel,Professional,Platinum,1360.22,0.624719002071671,0.0702127659574468
72,6.7,2,3,1774.48,603.0,1,0,977.53,88.9,San Salvador,Technician,Gold,591.4933333333333,0.5505722396197085,0.09178082191780822
21,0.0,0,2,1329.68,512.0,0,1,555.31,38.0,La Unión,Professional,Silver,1329.68,0.4173129527760242,0.0
35,4.5,1,4,1064.58,581.0,1,1,826.56,59.5,San Salvador,Technician,Gold,532.29,0.7756902344263218,0.125
27,2.6,0,2,881.06,539.0,0,0,389.28,41.4,Santa Ana,Student,Silver,881.06,0.4413305217332154,0.09285714285714286
49,6.9,1,2,973.94,561.0,0,0,364.54,64.0,San Salvador,Clerk,Gold,486.97,0.3739101893449853,0.138
27,0.0,0,2,692.66,499.0,1,0,371.55,40.2,San Salvador,Student,Silver,692.66,0.5356370556180262,0.0
28,1.6,0,2,964.96,565.0,1,0,486.79,50.6,Sonsonate,Clerk,Silver,964.96,0.5039442627023893,0.055172413793103454
32,2.6,0,1,1023.75,514.0,1,0,623.53,52.4,San Salvador,Clerk,Gold,1023.75,0.6084703586240546,0.0787878787878788
33,5.6,0,1,1079.51,585.0,0,0,456.88,52.2,La Libertad,Technician,Gold,1079.51,0.42283736383744713,0.16470588235294117
70,10.0,3,1,1412.39,604.0,0,0,486.67,34.4,Sonsonate,Manager,Gold,353.0975,0.3443281755212645,0.14084507042253522
53,6.8,0,2,851.12,531.0,0,0,415.99,47.0,La Unión,Clerk,Silver,851.12,0.4881824156222128,0.1259259259259259
63,9.4,2,1,1422.76,583.0,0,0,715.39,49.3,La Unión,Professional,Gold,474.25333333333333,0.5024653031409788,0.146875
51,10.8,2,3,703.02,510.0,0,0,237.8,29.7,Sonsonate,Clerk,Silver,234.34,0.3377744950427545,0.2076923076923077
33,4.1,0,1,2762.34,586.0,1,0,1607.04,90.8,San Salvador,Professional,Platinum,2762.34,0.5815571011891406,0.12058823529411763
48,5.3,1,2,1038.87,515.0,1,1,847.42,50.1,Santa Ana,Manager,Platinum,519.435,0.8149287891755701,0.10816326530612244
27,1.4,2,2,352.51,542.0,1,0,210.32,51.1,Santa Ana,Student,Silver,117.50333333333333,0.5949478091143108,0.049999999999999996
73,13.6,0,3,2688.93,597.0,0,0,670.89,94.6,Santa Ana,Manager,Platinum,2688.93,0.24940797715925694,0.18378378378378377
44,5.6,2,2,805.77,531.0,0,0,140.99,52.2,La Unión,Technician,Silver,268.59,0.17475860530262655,0.12444444444444444
46,4.2,0,2,656.06,518.0,0,0,178.08,31.6,La Libertad,Clerk,Silver,656.06,0.2710254771253767,0.08936170212765958
23,0.0,1,4,545.18,518.0,0,0,172.91,50.4,San Salvador,Clerk,Silver,272.59,0.3165806144494489,0.0
27,1.5,0,2,1638.81,523.0,0,0,825.18,56.1,La Libertad,Manager,Gold,1638.81,0.5032168360968649,0.05357142857142857
63,9.8,0,1,508.27,539.0,1,0,215.98,20.2,La Libertad,Clerk,Gold,508.27,0.42409723722190584,0.153125
48,5.8,0,2,563.84,578.0,0,0,334.57,44.4,La Unión,Clerk,Silver,563.84,0.5923270306635507,0.1183673469387755
37,1.7,1,1,2550.7,619.0,1,0,1886.35,84.9,Santa Ana,Manager,Platinum,1275.35,0.7392522631970843,0.04473684210526316
69,8.1,0,4,2047.27,574.0,0,1,610.58,74.7,La Libertad,Manager,Platinum,2047.27,0.2980954659297847,0.11571428571428571
68,7.1,2,3,1134.17,548.0,1,0,659.5,71.5,La Libertad,Professional,Gold,378.0566666666667,0.5809702511518098,0.10289855072463767
30,0.8,0,2,1413.01,523.0,1,0,853.04,55.4,San Salvador,Self-Employed,Gold,1413.01,0.6032772045459367,0.025806451612903226
68,8.2,3,3,4495.51,696.0,0,0,2198.85,100.0,San Salvador,Manager,Platinum,1123.8775,0.4890125897640614,0.11884057971014492
20,1.8,1,2,704.6,536.0,0,0,265.75,31.0,La Libertad,Clerk,Silver,352.3,0.37662981859410427,0.08571428571428572
27,4.5,0,1,198.1,550.0,0,0,72.57,27.2,Sonsonate,Student,Silver,198.1,0.36449020592667,0.16071428571428573
37,0.6,0,2,571.93,495.0,1,1,272.32,47.5,Sonsonate,Technician,Silver,571.93,0.4753111200321156,0.015789473684210527
31,3.6,2,1,652.98,574.0,0,0,218.32,28.9,San Salvador,Clerk,Silver,217.66,0.33383283892473775,0.1125
48,5.2,3,3,858.52,549.0,1,0,524.47,65.6,La Unión,Professional,Gold,214.63,0.6101894080416977,0.10612244897959185
72,13.8,1,3,1581.31,599.0,1,1,608.41,74.7,La Libertad,Professional,Platinum,790.655,0.38450746061138463,0.18904109589041096
35,4.4,0,1,891.35,569.0,1,0,239.73,55.0,San Salvador,Self-Employed,Platinum,891.35,0.26865019330979995,0.12222222222222223
49,5.8,0,1,682.73,527.0,0,0,250.19,31.3,La Libertad,Clerk,Silver,682.73,0.3659192956283913,0.11599999999999999
58,6.9,0,3,248.41,558.0,0,0,130.41,27.5,San Miguel,Student,Silver,248.41,0.5228739825989335,0.11694915254237288
27,0.7,0,2,979.87,567.0,1,0,559.69,47.6,La Unión,Professional,Gold,979.87,0.5706056867882594,0.024999999999999998
40,4.2,0,1,1188.96,562.0,0,0,284.67,41.2,La Libertad,Self-Employed,Gold,1188.96,0.23922652862281085,0.10243902439024391
49,6.2,1,1,1550.78,520.0,0,1,252.58,42.5,San Salvador,Clerk,Gold,775.39,0.162767918132725,0.124
68,9.8,1,2,241.46,580.0,0,0,73.07,22.5,La Unión,Student,Silver,120.73,0.30136929802854073,0.14202898550724638
38,2.7,0,2,598.09,528.0,0,0,243.66,28.9,Sonsonate,Clerk,Silver,598.09,0.40671685389507417,0.06923076923076923
46,6.5,4,2,1145.63,495.0,0,0,656.85,37.5,Santa Ana,Professional,Gold,229.12600000000003,0.5728526202872766,0.13829787234042554
26,1.0,0,5,511.96,578.0,0,0,223.86,44.4,La Libertad,Clerk,Silver,511.96,0.4364082969432314,0.037037037037037035
39,4.3,2,1,360.41,525.0,0,0,103.6,18.1,La Unión,Clerk,Silver,120.13666666666667,0.2866550455161727,0.1075
24,3.9,0,2,780.47,501.0,1,1,488.17,42.2,San Miguel,Technician,Silver,780.47,0.6246816896361984,0.156
38,3.3,0,4,1533.08,511.0,0,0,332.57,60.5,San Miguel,Professional,Gold,1533.08,0.21678791197329997,0.0846153846153846
65,6.3,0,2,2798.99,601.0,0,1,1150.99,77.8,Santa Ana,Manager,Platinum,2798.99,0.4110693252475902,0.09545454545454546
65,8.2,1,4,2824.14,549.0,0,1,1094.46,76.6,Sonsonate,Professional,Silver,1412.07,0.3874002704290761,0.12424242424242424
38,6.9,3,2,309.5,509.0,1,0,103.38,40.3,Santa Ana,Clerk,Silver,77.375,0.33294685990338163,0.17692307692307693
61,6.5,1,5,906.95,585.0,1,0,540.44,82.6,San Miguel,Technician,Gold,453.475,0.5952310149237293,0.10483870967741936
19,0.0,1,1,551.9,547.0,0,0,375.0,32.9,San Miguel,Clerk,Silver,275.95,0.6782419967444384,0.0
74,7.6,1,1,1933.93,512.0,1,0,1186.77,71.8,San Salvador,Professional,Gold,966.965,0.6133400174683321,0.10133333333333333
59,8.9,2,2,1186.07,606.0,1,0,767.67,55.4,San Salvador,Professional,Platinum,395.3566666666666,0.6466931183502237,0.14833333333333334
19,2.5,1,2,426.4,534.0,1,1,187.65,33.2,Sonsonate,Clerk,Silver,213.2,0.43905007019185777,0.125
